match_id,assist,champion_level,champion_id,champion_name,dmg_to_turrets,deaths,first_blood,first_tower,gold_spend,item0,item1,item2,item3,item4,item5,item6,item0_name,item1_name,item2_name,item3_name,item4_name,item5_name,item6_name,kills,participate_id,sumoner_level,id,team_position,total_damage,total_damage_taken,minions_killed,turret_kills,win,league_id,queue_type,tier,division,id,account_id,puuid,name,points,wins,loses,veteran,inactive,freshBlood,streak
NA1_4589282826,18,16,875,Sett,0,13,0,0,10900,3748,6630,3111,3066,1057,1028,2052,Titanic Hydra,Goredrinker,Mercury's Treads,Winged Moonplate,Negatron Cloak,Ruby Crystal,Poro-Snax,6,4,161,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,,30053,43626,42,0,0,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4589290385,26,17,62,MonkeyKing,1186,14,0,1,12125,6632,3111,3071,3156,1031,1037,2052,Divine Sunderer,Mercury's Treads,Black Cleaver,Maw of Malmortius,Chain Vest,Pickaxe,Poro-Snax,7,4,161,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,,24049,38531,33,2,0,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4589308709,21,17,54,Malphite,238,9,0,0,11900,4636,2421,4645,3135,3020,3191,2052,Night Harvester,Broken Stopwatch,Shadowflame,Void Staff,Sorcerer's Shoes,Seeker's Armguard,Poro-Snax,9,2,161,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,,28418,22441,32,0,0,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4589332892,14,18,62,MonkeyKing,93,14,0,0,14650,6632,3111,3071,3156,6333,1057,2052,Divine Sunderer,Mercury's Treads,Black Cleaver,Maw of Malmortius,Death's Dance,Negatron Cloak,Poro-Snax,18,2,161,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,,22596,37428,62,0,0,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4590064294,2,11,266,Aatrox,1256,5,0,0,6360,2031,6692,1001,3133,3067,1036,3340,Refillable Potion,Eclipse,Boots,Caulfield's Warhammer,Kindlegem,Long Sword,Stealth Ward,2,4,162,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,TOP,11595,16580,120,0,0,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4590081425,15,18,104,Graves,4848,7,0,0,16550,3179,6630,3111,3071,3156,6694,3364,Umbral Glaive,Goredrinker,Mercury's Treads,Black Cleaver,Maw of Malmortius,Serylda's Grudge,Oracle Lens,5,7,162,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,JUNGLE,23471,41037,108,5,1,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4590122916,28,18,63,Brand,1105,14,0,1,16000,6653,3157,4637,3116,3165,3020,2052,Liandry's Anguish,Zhonya's Hourglass,Demonic Embrace,Rylai's Crystal Scepter,Morellonomicon,Sorcerer's Shoes,Poro-Snax,9,8,162,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,,30094,38073,87,2,0,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4590144425,21,14,15,Sivir,0,10,0,0,9650,6672,3006,6675,3086,1042,1042,2052,Kraken Slayer,Berserker's Greaves,Navori Quickblades,Zeal,Dagger,Dagger,Poro-Snax,7,8,162,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,,14931,19016,42,0,0,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4590155372,22,18,92,Riven,3382,13,0,0,14000,3071,6630,6333,3158,3077,3133,2052,Black Cleaver,Goredrinker,Death's Dance,Ionian Boots of Lucidity,Tiamat,Caulfield's Warhammer,Poro-Snax,9,9,162,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,,27627,43457,51,2,1,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
NA1_4590173018,22,18,38,Kassadin,343,19,0,0,14150,6657,3157,3040,3100,3111,4630,2052,Rod of Ages,Zhonya's Hourglass,Seraph's Embrace,Lich Bane,Mercury's Treads,Blighting Jewel,Poro-Snax,13,3,162,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,,37179,55625,48,0,0,0611f088-da02-408a-98c9-051424b9e3d2,RANKED_SOLO_5x5,DIAMOND,I,55CnLi65rYfEwPbZmo21lv9ajqgzGTw5eUzYM3jzTnV_3u25,i5KXA8OAMKd9OFwOGwdRMS79V0OSyg8K48kfElgPfinMe9QZMiJDE2FD,QN-b7WhDgKSS99F1oWyKRIoAUWI-2M2rRkwJdw4g2zDmRz9z98almBgMRWhxf3XrFwXqeB1uY7hf4g,Zhong Chao Meng,75,41,40,0,0,0,0
