Structure Id,DFRP Structure Number,TC Identifier,Structure Name,Structure Name (fr),DFRP Reportable,Structure Status,Structure Status,Structure Status (fr),Structure Type,Structure Type,Structure Type (fr),Surplus,Parent Asset No.,Structure Condition,Structure Condition,Structure Condition (fr),Construction Year,Date Placed In Service,Date Decommissioned,Custodian,Custodian Name,Custodian Name,Interest Type Code,Interest Type,Interest Type (fr),Security Code,Security Code,Security Code (fr),Outdoor Parking Spaces,Transferee Custodian,Transferee Custodian Name,Transferee Custodian Name (fr),Archive Type Code,Archive Type Code,Archive Type Code (fr),Structure Use,Structure Use (fr),Partial Space Used,Heritage Designation,Heritage Designation,Heritage Designation (fr),Decision Date,Has ODS Equipment,Wastewater Issue,Waste Program,Hazardous Waste Program,Drinking Water Issue,Green Building Standard,Asbestos Status (EN),Asbestos Status (FR),Asbestos Remark,Asbestos Management Plan (EN),Asbestos Management Plan (FR),Address,Adresse (fr),City,Postal Code,Province Id,Province Name,Province Name (fr),Description,Description (fr),Floor Area (m²),Number of Floors,Indoor Parking Spaces,Area Includes Interior Parking,Outdoor Parking Spaces,has_geometry_ind
1,339,102,Hangar#2,Hangar#2,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017133,2,Fair,Passable,1943,1980-08-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Hangar,Hangar avion,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,Airport Terminal Access Road,route d'acces à l'Aéroport,St. John's,,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,5279,1,0,0,,1
2,112092,92,Combined Services Building,Services Généraux,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017134,1,Good,Bon/moyen,1986,1993-09-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Maintenance, repair, or servicing","Entretien, réparations ou service",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,Airport Terminal Access Road,route d'acces à l'Aéroport,St. John's,,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,2275,1,0,0,,1
3,967,226,Storage Building-10 Old Heating Plant,Entrepôt - 10 -Vieux centre de chauffage,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017072,2,Fair,Passable,1940,1982-03-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,PO Box 400,C.P. 400,Gander ,A1V 1W8,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,624,1,0,0,,1
5,112094,250,Storage Building-2 RCMP Storage,Entrepôt - 2 RCMP,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017066,2,Fair,Passable,1945,1981-06-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,PO Box 400,C.P. 400,Gander ,A1V 1W8,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,153,1,0,0,,1
8,112097,T601,Air Terminal Building ,Aérogare,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017064,1,Good,Bon/moyen,1951,1973-12-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Yes,Oui,,No,Non,1000 James Boulevard,1000 Boulevard James,Gander ,,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,30598,1,0,0,,1
9,112098,602,Firehall / Fec,Caserne / Fec,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017092,1,Good,Bon/moyen,1961,1978-10-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Emergency services,Service d’urgence,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,"PO Box 400, Gander",C.P. 400,Gander ,A1V 1W8,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,1184,1,0,0,,1
11,112100,673,Maintenance Building,Bâtiment d'Entretien,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017074,1,Good,Bon/moyen,1985,1989-10-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Maintenance, repair, or servicing","Entretien, réparations ou service",0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,PO Box 400,C.P. 400,Gander ,A1V 1W8,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,2960,1,0,0,,1
12,112101,677,Storage Building-4 Stores,Entrepôt - 4 Magasins,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017068,1,Good,Bon/moyen,1987,1989-11-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Warehousing storage and distribution,Entreposage en entrepôt et distribution,0,NOT APPLICABLE,Not Applicable,Non applicable,2009-04-15 0:00,0,0,0,0,0,0,Work in progress,Travail en cours,,,,PO Box 400,C.P. 400,Gander ,A1V 1W8,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,...,...,442,1,0,0,,1
13,1898,17,Air Terminal Building,Aerogare,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017182,1,Good,Bon/moyen,1980,1984-08-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,Air transport depot/station/ terminal,Dépôt/aérogare pour transport aérien,0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,1 Airport Road,1 route de l'Aéroport,Wabush ,,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,,...,3033,1,0,0,,1
14,112102,18,Combined Services Building,Services Generaux,1,ACTIVE,Active,Actif,BLDG,Building,Bâtiments,0,130017184,1,Good,Bon/moyen,1980,1983-08-01 0:00,,171,Transport Canada (Airport Programs),Transports Canada (Programmes aéroportuaires),10,Crown Owned,Bien immobilier de l'État,0,Not protected,Non protégé,0,,,,,,,"Maintenance, repair, or servicing","Entretien, réparations ou service",0,NOTASSESSED,Not Assessed,Non évaluée,,0,0,0,0,0,0,Yes,Oui,,Yes,Oui,Airport Road,route de l'Aéroport,Wabush ,,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,,,2282,1,0,0,,1
